date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:49:16	11656/11656	---M-Z	200	added ('OK')	text/html	date:Tue,%2010%20Mar%202020%2016:49:16%20GMT	https://homework-5-637780.webflow.io/	C:/My%20Web%20Sites/WebFlow#Cafe/homework-5-637780.webflow.io/index.html	(from )
21:49:16	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Tue,%2010%20Mar%202020%2016:49:15%20GMT	https://homework-5-637780.webflow.io/robots.txt		(from )
21:49:17	39769/39769	---M-Z	200	added ('OK')	text/css	etag:%22b67980e946356e71f285a694df5d3b5f%22	https://uploads-ssl.webflow.com/5e60c107afff65126f9a115d/css/homework-5-637780.webflow.30eab7105.css	C:/My%20Web%20Sites/WebFlow#Cafe/uploads-ssl.webflow.com/5e60c107afff65126f9a115d/css/homework-5-637780.webflow.30eab7105.css	(from https://homework-5-637780.webflow.io/)
21:49:17	13188/13188	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/My%20Web%20Sites/WebFlow#Cafe/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://homework-5-637780.webflow.io/)
21:49:18	3290/3290	---M--	200	added ('OK')	image/png	etag:%225d19a6dc030c169dc83ff100058d12a5%22	https://uploads-ssl.webflow.com/img/webclip.png	C:/My%20Web%20Sites/WebFlow#Cafe/uploads-ssl.webflow.com/img/webclip.png	(from https://homework-5-637780.webflow.io/)
21:49:18	10169/10169	---M--	200	added ('OK')	image/png	etag:%226b3b85d8c1344d6d50f98107b260539f%22	https://uploads-ssl.webflow.com/5e60c107afff65126f9a115d/5e60c16630fed6c4e8d7bc73_h1-slider-img-1.png	C:/My%20Web%20Sites/WebFlow#Cafe/uploads-ssl.webflow.com/5e60c107afff65126f9a115d/5e60c16630fed6c4e8d7bc73_h1-slider-img-1.png	(from https://homework-5-637780.webflow.io/)
21:49:19	1978/1978	---M--	200	added ('OK')	image/png	etag:%22a50474133efbd5a2fe9cc523ce9f3476%22	https://uploads-ssl.webflow.com/5e60c107afff65126f9a115d/5e60c18dafff65cd029a1db3_slider-separator-img.png	C:/My%20Web%20Sites/WebFlow#Cafe/uploads-ssl.webflow.com/5e60c107afff65126f9a115d/5e60c18dafff65cd029a1db3_slider-separator-img.png	(from https://homework-5-637780.webflow.io/)
21:49:19	1815/1815	---M--	200	added ('OK')	image/png	etag:%22e06516824ff4596b782b655ed8428d66%22	https://uploads-ssl.webflow.com/5e60c107afff65126f9a115d/5e60c18d6f0e68c13d9041fe_title-separator.png	C:/My%20Web%20Sites/WebFlow#Cafe/uploads-ssl.webflow.com/5e60c107afff65126f9a115d/5e60c18d6f0e68c13d9041fe_title-separator.png	(from https://homework-5-637780.webflow.io/)
21:49:20	6219/6219	---M--	200	added ('OK')	image/png	etag:%22e7c53b542d6fd609eca945373e79e51b%22	https://uploads-ssl.webflow.com/5e60c107afff65126f9a115d/5e60c1666f0e68bdad9039fa_h2-custom-icon-5.png	C:/My%20Web%20Sites/WebFlow#Cafe/uploads-ssl.webflow.com/5e60c107afff65126f9a115d/5e60c1666f0e68bdad9039fa_h2-custom-icon-5.png	(from https://homework-5-637780.webflow.io/)
21:49:20	7592/7592	---M--	200	added ('OK')	image/png	etag:%229295d9dcc5b97993eab7b16ee18ba175%22	https://uploads-ssl.webflow.com/5e60c107afff65126f9a115d/5e60c1662c27c08c2f9f3728_h2-custom-icon-6.png	C:/My%20Web%20Sites/WebFlow#Cafe/uploads-ssl.webflow.com/5e60c107afff65126f9a115d/5e60c1662c27c08c2f9f3728_h2-custom-icon-6.png	(from https://homework-5-637780.webflow.io/)
21:49:21	7175/7175	---M--	200	added ('OK')	image/png	etag:%2250f4ebab52f3c281840dd0221dff3b0d%22	https://uploads-ssl.webflow.com/5e60c107afff65126f9a115d/5e60c1662c27c0f0119f3727_h2-custom-icon-7.png	C:/My%20Web%20Sites/WebFlow#Cafe/uploads-ssl.webflow.com/5e60c107afff65126f9a115d/5e60c1662c27c0f0119f3727_h2-custom-icon-7.png	(from https://homework-5-637780.webflow.io/)
21:49:22	5040/5040	---M--	200	added ('OK')	image/png	etag:%221fdbc72b77433166787e65dfb33db67d%22	https://uploads-ssl.webflow.com/5e60c107afff65126f9a115d/5e60c1666f0e68324a9039fb_h2-custom-icon-8.png	C:/My%20Web%20Sites/WebFlow#Cafe/uploads-ssl.webflow.com/5e60c107afff65126f9a115d/5e60c1666f0e68324a9039fb_h2-custom-icon-8.png	(from https://homework-5-637780.webflow.io/)
